Kód obce,Kód okresu,Latitude,Longitude
589349,CZ0713,49.587129,16.926980
547638,CZ0633,49.579243,15.362705
537055,CZ0208,50.195426,15.098869
552143,CZ0317,49.293941,14.837518
577910,CZ0533,49.801511,16.174739
546038,CZ0313,49.076348,15.531006
590401,CZ0634,49.271484,16.003938
506460,CZ0805,49.795210,17.629792
568261,CZ0805,49.861418,18.039719
561576,CZ0315,49.070156,14.007074
590410,CZ0634,49.054591,15.659030
560171,CZ0316,49.146060,14.071176
564656,CZ0423,50.404377,14.126018
592102,CZ0722,49.086371,17.338628
545449,CZ0312,48.702429,14.429747
559741,CZ0326,49.914681,13.574492
537519,CZ0315,49.038011,13.845247
512826,CZ0714,49.504545,17.468822
595403,CZ0635,49.454403,16.223666
589357,CZ0713,49.509838,16.829233
546372,CZ0324,49.537495,13.158861
540021,CZ020B,49.755238,14.066683
586072,CZ0645,49.042267,17.100961
560316,CZ0413,50.166437,12.572766
552402,CZ0712,49.605360,17.343594
532924,CZ0201,49.822898,14.624388
564664,CZ020B,49.574617,14.102640
511935,CZ0802,49.556686,18.821553
553506,CZ0321,49.586461,12.995414
581437,CZ0643,49.406829,16.489825
547751,CZ0523,50.549647,16.228038
581445,CZ0641,49.297608,16.773268
574813,CZ0532,50.124960,15.823385
577031,CZ0514,50.542694,15.583940
574821,CZ0532,49.948338,15.562977
581453,CZ0641,49.294279,16.805039
574830,CZ0532,50.101131,15.625408
530085,CZ0322,49.222588,13.661427
535605,CZ0207,50.446863,14.840687
573353,CZ0522,50.412586,15.294637
584380,CZ0644,48.831565,16.748843
563935,CZ0513,50.971244,15.123670
561312,CZ0633,49.552815,15.066329
540048,CZ020A,49.803410,14.384043
550159,CZ0315,49.115542,13.934788
532894,CZ0715,49.976227,16.837978
559750,CZ0326,49.795629,13.534766
532169,CZ0203,50.156043,14.189083
549282,CZ0522,50.386551,15.427515
529966,CZ0316,49.422730,13.932715
546780,CZ0423,50.559879,14.213625
533238,CZ0204,50.067727,15.273572
534714,CZ0206,50.347271,14.418129
534145,CZ0202,49.883057,14.063765
581461,CZ0641,49.430303,16.538385
569607,CZ0801,50.052449,17.687486
571245,CZ0531,49.957375,15.733261
544647,CZ0421,50.820934,14.264287
561801,CZ0633,49.508570,15.371288
577049,CZ0514,50.604834,15.401976
576166,CZ0524,50.321556,16.255333
577928,CZ0533,49.628557,16.346893
500879,CZ0712,49.536347,17.193626
547026,CZ0712,49.597116,17.323754
567477,CZ0426,50.628776,13.864300
579971,CZ0534,50.011781,16.619105
572772,CZ0522,50.392983,15.244218
598062,CZ0802,49.636670,18.720488
529451,CZ0201,49.732235,14.667506
595411,CZ0635,49.523046,16.261571
588393,CZ0721,49.399337,17.674121
592111,CZ0722,48.974921,17.764159
541711,CZ0723,49.415411,17.974099
534722,CZ0206,50.310544,14.611470
512877,CZ0714,49.467566,17.714164
595420,CZ0635,49.475308,16.289398
574848,CZ0532,50.132532,15.911265
576174,CZ0524,50.215939,16.190300
586081,CZ0645,48.973463,17.266959
531120,CZ0202,49.897991,13.862507
567485,CZ0426,50.589151,13.879624
560782,CZ0327,49.829449,12.979175
550906,CZ0316,49.215169,14.029493
586978,CZ0632,49.369400,15.472878
559768,CZ0326,49.821968,13.763901
509191,CZ0313,48.919602,14.807457
572781,CZ0522,50.333348,15.723633
577936,CZ0533,49.898991,16.215295
586986,CZ0632,49.334875,15.587278
533246,CZ0204,50.071376,15.072140
549321,CZ0314,49.418097,14.055739
531138,CZ0202,49.849643,13.834934
588407,CZ0721,49.172391,17.261484
563943,CZ0513,50.644523,14.917705
581470,CZ0641,49.578884,16.721351
547662,CZ0633,49.455335,14.957412
564419,CZ020B,49.599728,14.121455
590428,CZ0634,49.128295,15.735638
588016,CZ0635,49.644947,15.967490
599476,CZ0204,49.909456,15.015818
533998,CZ0205,49.945703,15.335153
569135,CZ0714,49.466135,17.352711
560324,CZ0413,50.162671,12.613440
542571,CZ0424,50.332834,13.812247
593851,CZ0647,48.884055,15.964567
512982,CZ0714,49.467819,17.325561
534731,CZ0206,50.372354,14.398243
546054,CZ0313,49.030650,15.389754
579980,CZ0534,49.936282,16.724140
554162,CZ0641,49.545112,16.434827
571253,CZ0531,49.830355,15.839524
579459,CZ0327,49.827330,12.610120
532690,CZ0201,49.736767,14.904302
593869,CZ0647,48.982616,15.860090
570991,CZ0207,50.377891,14.993465
564672,CZ0423,50.374801,14.307223
561479,CZ0511,50.777293,14.633019
550272,CZ0643,48.993768,16.514581
532185,CZ0203,50.179896,14.154895
568490,CZ0631,49.695303,15.608696
535621,CZ0207,50.275570,14.946032
555941,CZ0322,49.265538,13.302687
535541,CZ0311,48.980659,14.307773
529478,CZ0201,49.825696,14.836436
552003,CZ0801,50.051137,17.548483
598291,CZ0206,50.231701,14.531487
571270,CZ0531,49.963804,15.937395
534005,CZ0205,49.910995,15.390894
590436,CZ0634,49.152316,15.772506
547689,CZ0633,49.592512,15.002850
560804,CZ0327,49.756077,12.673799
592137,CZ0722,49.104530,17.619917
553964,CZ0634,49.014482,15.819302
576182,CZ0524,50.129194,16.181387
547719,CZ0633,49.307899,15.180392
572799,CZ0532,50.069473,15.898214
569119,CZ0806,49.829577,18.080797
582913,CZ0643,49.313339,16.478018
534749,CZ0206,50.294103,14.618687
510068,CZ0316,49.374116,13.794971
548375,CZ0631,49.784709,15.664069
